Layer                                                                                                          Dtype                 Size (MB) Shape                         
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.out_proj.bias                           torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.out_proj.weight                         torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.q_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.q_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.v_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.7.self_attn.v_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.8.layer_norm1.bias                                  torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.layer_norm1.weight                                torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.layer_norm2.bias                                  torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.layer_norm2.weight                                torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.mlp.fc1.bias                                      torch.float16             0.006 torch.Size([3072])            
text_encoders.clip_l.transformer.text_model.encoder.layers.8.mlp.fc1.weight                                    torch.float16             4.500 torch.Size([3072, 768])       
text_encoders.clip_l.transformer.text_model.encoder.layers.8.mlp.fc2.bias                                      torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.mlp.fc2.weight                                    torch.float16             4.500 torch.Size([768, 3072])       
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.k_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.k_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.out_proj.bias                           torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.out_proj.weight                         torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.q_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.q_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.v_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.8.self_attn.v_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.9.layer_norm1.bias                                  torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.layer_norm1.weight                                torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.layer_norm2.bias                                  torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.layer_norm2.weight                                torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.mlp.fc1.bias                                      torch.float16             0.006 torch.Size([3072])            
text_encoders.clip_l.transformer.text_model.encoder.layers.9.mlp.fc1.weight                                    torch.float16             4.500 torch.Size([3072, 768])       
text_encoders.clip_l.transformer.text_model.encoder.layers.9.mlp.fc2.bias                                      torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.mlp.fc2.weight                                    torch.float16             4.500 torch.Size([768, 3072])       
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.k_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.k_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.out_proj.bias                           torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.out_proj.weight                         torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.q_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.q_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.v_proj.bias                             torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.encoder.layers.9.self_attn.v_proj.weight                           torch.float16             1.125 torch.Size([768, 768])        
text_encoders.clip_l.transformer.text_model.final_layer_norm.bias                                              torch.float16             0.001 torch.Size([768])             
text_encoders.clip_l.transformer.text_model.final_layer_norm.weight                                            torch.float16             0.001 torch.Size([768])             
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.SelfAttention.k.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.SelfAttention.o.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.SelfAttention.q.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.SelfAttention.relative_attention_bias.weight           torch.float8_e4m3fn       0.002 torch.Size([32, 64])          
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.SelfAttention.v.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.0.layer.0.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.0.layer.1.DenseReluDense.wi_0.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.0.layer.1.DenseReluDense.wi_1.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.0.layer.1.DenseReluDense.wo.weight                               torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.0.layer.1.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.1.layer.0.SelfAttention.k.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.1.layer.0.SelfAttention.o.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.1.layer.0.SelfAttention.q.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.1.layer.0.SelfAttention.v.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.1.layer.0.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.1.layer.1.DenseReluDense.wi_0.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.1.layer.1.DenseReluDense.wi_1.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.1.layer.1.DenseReluDense.wo.weight                               torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.1.layer.1.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.10.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.10.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.10.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.10.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.10.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.10.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.10.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.10.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.10.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.11.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.11.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.11.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.11.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.11.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.11.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.11.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.11.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.11.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.12.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.12.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.12.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.12.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.12.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.12.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.12.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.12.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.12.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.13.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.13.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.13.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.13.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.13.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.13.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.13.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.13.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.13.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.14.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.14.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.14.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.14.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.14.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.14.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.14.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.14.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.14.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.15.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.15.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.15.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.15.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.15.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.15.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.15.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.15.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.15.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.16.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.16.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.16.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.16.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.16.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.16.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.16.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.16.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.16.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.17.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.17.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.17.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.17.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.17.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.17.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.17.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.17.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.17.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.18.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.18.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.18.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.18.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.18.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.18.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.18.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.18.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.18.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.19.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.19.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.19.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.19.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.19.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.19.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.19.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.19.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.19.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.2.layer.0.SelfAttention.k.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.2.layer.0.SelfAttention.o.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.2.layer.0.SelfAttention.q.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.2.layer.0.SelfAttention.v.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.2.layer.0.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.2.layer.1.DenseReluDense.wi_0.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.2.layer.1.DenseReluDense.wi_1.weight                             torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.2.layer.1.DenseReluDense.wo.weight                               torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.2.layer.1.layer_norm.weight                                      torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.20.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.20.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.20.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.20.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.20.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.20.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.20.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.20.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.20.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.21.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.21.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.21.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.21.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.21.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.21.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.21.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.21.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.21.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.22.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.22.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.22.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.22.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.22.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.22.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.22.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.22.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.22.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.23.layer.0.SelfAttention.k.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.23.layer.0.SelfAttention.o.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.23.layer.0.SelfAttention.q.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.23.layer.0.SelfAttention.v.weight                                torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
text_encoders.t5xxl.transformer.encoder.block.23.layer.0.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.23.layer.1.DenseReluDense.wi_0.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.23.layer.1.DenseReluDense.wi_1.weight                            torch.float8_e4m3fn      40.000 torch.Size([10240, 4096])     
text_encoders.t5xxl.transformer.encoder.block.23.layer.1.DenseReluDense.wo.weight                              torch.float8_e4m3fn      40.000 torch.Size([4096, 10240])     
text_encoders.t5xxl.transformer.encoder.block.23.layer.1.layer_norm.weight                                     torch.float8_e4m3fn       0.004 torch.Size([4096])            
text_encoders.t5xxl.transformer.encoder.block.3.layer.0.SelfAttention.k.weight                                 torch.float8_e4m3fn      16.000 torch.Size([4096, 4096])      
